28202,1060,40,16093,220
28202,1340,50,54849,831
28202,1220,80,78095,2014
28202,670,100,64022,2850
28202,740,350,136221,9013
28202,240,360,232304,24355
28203,1560,60,23587,392
28203,1680,100,67674,1200
28203,1340,110,88779,2208
28203,650,160,67117,2803
28203,630,560,148387,11325
28203,210,780,324737,34570
28204,590,30,9301,161
28204,710,40,27892,505
28204,430,60,28584,973
28204,220,80,22996,1044
28204,180,210,47741,3815
28204,50,230,76894,9961
28205,6130,910,109627,1094
28205,3470,1080,186660,3602
28205,1470,670,124686,5366
28205,570,580,91487,5266
28205,510,1000,185471,14460
28205,120,450,145093,14732
28206,1840,190,39251,197
28206,650,200,44913,665
28206,180,90,18203,485
28206,60,40,8303,343
28206,50,70,12382,763
28206,0,0,5142,534
28207,750,30,5204,625
28207,480,50,15662,856
28207,350,80,19183,1684
28207,190,100,16558,1976
28207,200,340,42313,7929
28207,180,1420,735428,123664
28208,5150,620,118646,597
28208,1850,720,133797,2124
28208,480,330,51208,1759
28208,110,170,22558,936
28208,140,160,34278,2275
28208,0,40,12158,2339
28209,2420,240,32028,1081
28209,2220,290,93927,2226
28209,1330,310,89314,4296
28209,590,350,67076,4644
28209,560,990,181904,15934
28209,180,910,334363,38336
28210,4990,630,75028,2002
28210,3270,830,165348,4619
28210,1710,860,134745,7675
28210,800,900,113910,9063
28210,800,2390,332001,33373
28210,240,1700,581227,74135
28211,3030,310,33611,1466
28211,1600,400,69718,2594
28211,850,510,67096,4570
28211,420,650,69407,6187
28211,430,1780,228292,25618
28211,200,2300,1010013,146486
28212,5550,1130,111794,821
28212,2230,1320,165360,2919
28212,560,630,72097,2680
28212,140,340,35167,1926
28212,80,330,38921,2831
28212,0,40,7885,1184
28213,5400,750,99891,996
28213,2340,1050,171402,4325
28213,760,780,103381,5094
28213,220,650,76030,4513
28213,160,720,99964,6860
28213,0,90,22675,2032
28214,4170,750,74301,1318
28214,2110,1140,165382,5168
28214,860,1070,127584,6159
28214,270,920,93495,5494
28214,150,1150,151339,11307
28214,20,210,58343,5553
28215,6850,1220,130829,1923
28215,2900,1600,223795,6600
28215,1000,1350,150059,7500
28215,310,1050,102624,6087
28215,150,1180,137291,10559
28215,30,160,35310,4264
28216,6460,780,120802,1721
28216,3240,1180,228889,6056
28216,1200,1050,150002,7096
28216,360,900,104313,5730
28216,230,1130,157377,11714
28216,20,250,73456,7344
28217,3480,580,76600,532
28217,1720,730,128336,1906
28217,620,560,76208,2184
28217,220,380,49898,1617
28217,130,330,53320,2285
28217,0,40,15455,1280
28226,4190,570,44737,2360
28226,2370,820,109422,4513
28226,1160,940,108378,7111
28226,490,1060,99537,8429
28226,490,2510,310530,32455
28226,190,2350,851308,111438
28227,6300,1350,97700,1912
28227,2650,1850,188269,5864
28227,970,1560,144888,7620
28227,320,1440,123921,8199
28227,210,2090,242031,20098
28227,20,510,118522,13664
28262,5350,510,85486,862
28262,2690,840,168854,3651
28262,1130,990,145430,5205
28262,390,840,110072,4868
28262,220,1050,153464,9567
28262,0,220,54855,7879
28269,8350,1070,134039,2495
28269,4750,1740,319172,10130
28269,2110,2090,280017,14131
28269,790,2120,243076,14059
28269,540,3550,506358,36216
28269,70,770,202420,17771
28270,3320,460,34480,1445
28270,1500,640,78028,3257
28270,700,770,77275,5419
28270,330,920,88434,7299
28270,360,2610,337070,32006
28270,110,1780,528301,56318
28273,4060,650,70426,1055
28273,2640,1090,178736,4854
28273,1190,1040,148908,6275
28273,390,910,112970,5813
28273,230,1130,165407,11177
28273,30,130,37047,3000
28277,5830,720,58136,2896
28277,2780,1130,137954,6832
28277,1880,1430,190338,12221
28277,840,1900,213735,15787
28277,940,5700,803779,69939
28277,280,3810,1319160,136645
28278,2140,330,29861,900
28278,1220,580,80006,3296
28278,680,760,96491,5818
28278,330,900,102304,6933
28278,260,1710,235061,18966
28278,60,620,180343,21172
